Isotope,Energy (keV),Sensitivity (cps/mg)
Yb-175,41.218,1.290700272
As-76,44.425,1.702191693
Eu-152,48.31,301.5847892
Rh-104,51.5,42.1235544
I-128,58.11,0.662854703
Re-186,59.01,8.974820612
Sb-122,61.413,1.924257893
Re-188,63.582,13.71547369
Tb-160,63.686,2.935627699
Th-233,63.81,14.76415866
Tb-160,64.11,2.424496097
 W-187,72.002,2.455622926
Tb-160,75.05,3.903111743
Eu-152,77.23,434.154721
P-32,78.083,0.674888859
Sb-122,78.091,1.396724663
Ag-108,78.91,12.86867021
Gd-158,79.51,9103.34984
 Ho-166,80.574,8.416472825
Dy-162,80.64,36.43783124
Mn-56,83.884,20.60008403
Ir-192,84.274,14.60102871
As-76,86.788,2.843758609
Eu-152,89.847,3499.275802
Na-24,90.992,3.814126942
Hf-178,93.182,27.98035947
In-116,96.062,81.05529704
Rh-104,97.14,71.87419196
Nb-94,99.407,0.804172938
Ir-194,112.231,3.435348824
Ga-72,112.36,0.863596276
Zn-65,115.225,0.994708851
Ho-166,116.836,19.14670106
Ag-110,117.45,13.92002904
Sb-122,121.497,1.283726686
V-52,125.082,12.36204784
I-128,133.611,4.375173601
U-239,133.799,0.624205071
Ir-192,136.125,13.21261703
Ho-166,136.665,34.34456461
Lu-177,138.607,15.14797108
Tl-204,139.94,0.763469018
 Th-233,140.88,1.428361161
Pr-142,140.905,1.325428852
 Sc-46,142.528,42.28647815
Tm-170,144.48,13.72735673
Ga-72,145.14,2.599361569
W-187,145.79,2.051210829
Sc-46,147.011,52.52809948
Tm-170,149.718,16.31229578
Lu-177,150.392,30.55419688
 Re-188,155.041,14.83271091
Os-188,155.1,2.412844733
Cu-64,159.281,3.916760406
As-76,165.049,5.072481427
Ar-41,167.3,5.048039102
Ta-182,173.205,2.524790109
Ge-71,175.05,0.850327045
Cs-134,176.404,6.985854071
Pr-142,176.863,2.826119464
Rh-104,180.87,82.02933342
Gd-158,181.931,17097.51933
Dy-165,184.257,333.8703799
Er-168,184.285,124.4162764
Dy-162,185.19,89.28995847
In-116,186.21,85.82477339
Os-190,186.718,4.047505629
Ga-72,192.11,1.021169322
Ag-108,192.9,7.475437045
Er-168,198.244,64.94958983
Ag-110,198.72,26.08178364
 Lu-177,201.83,78.22110066
Y-90,202.53,1.172428095
Tm-170,204.448,18.55637778
Cs-134,205.615,4.210855604
Ag-108,206.46,11.8897227
Re-188,207.853,8.521245603
Mn-56,212.039,13.75276701
Hf-178,213.439,58.08303122
 Hf-179,214.341,32.26020493
Hf-179,214.341,11.28117596
Re-186,214.647,4.797151551
Au-198,214.971,16.12405266
La-140,218.225,1.969718414
Sc-46,227.773,54.66879937
Co-60,229.879,41.83144569
Ag-110,235.62,14.54678468
Se-77,238.998,8.805963956
Br-80,245.203,3.339302528
Au-198,247.573,9.373859124
Nb-94,253.115,0.466803312
Nb-94,255.929,0.619090377
Au-198,261.404,8.701884471
Ta-182,270.403,4.567715352
Br-80,271.374,1.834884069
In-116,272.966,91.20763331
Co-60,277.161,36.05590741
Cu-64,278.25,4.401540624
Ir-194,278.504,2.931400285
Br-82,287.739,0.974082521
La-140,288.255,1.615245275
Re-188,290.665,5.751052963
Sc-46,295.243,26.78769787
U-236,297,2.79E-01
Hf-179,303.988,5.652023537
 Lu-177,306.84,76.69308983
Br-80,314.982,1.683862089
Re-186,316.457,3.461987888
Tl-204,318.88,0.461818936
Bi-210,319.78,0.015955739
Ti-51,320.076,0.052065581
Hf-178,325.559,10.75447873
Pt-196,326.353,0.762224133
 Ir-194,328.448,13.51349901
Pt-196,332.985,3.803308824
Sm-150,333.97,9004.615355
Tl-204,347.96,0.487148473
Ne-21,350.72,0.269307239
Ir-192,351.689,15.54027834
Fe-57,352.347,1.338071701
Pt-196,355.684,8.742546159
Hg-200,367.947,333.5640526
Ir-194,371.502,2.908718544
Yb-175,396.329,2.088644177
Ta-182,402.623,1.643567003
 Au-198,411.802,118.5807415
 In-116,416.86,92.3478738
Ho-166,426.012,4.246757704
Sm-150,439.4,4535.841241
 I-128,442.901,1.112428577
Ba-139,454.73,0.144927822
Lu-177,457.944,11.01892919
Ba-138,462.78,0.110896193
Ni-59,464.978,3.304097006
Na-24,472.202,4.735765412
Th-233,472.3,0.161943278
Ce-141,475.04,0.132795799
Ru-102,475.095,2.200199318
Li-7,477.595,0.04985085
B-11,477.595,14977.87961
Os-188,478.04,0.621349231
W-187,479.55,3.177637571
 La-140,487.021,4.485673266
Rb-86,487.89,0.128947315
Dy-165,496.931,60.91987333
Ge-71,499.87,0.489884293
Cs-134,510.795,2.510493843
Pd-106,511.843,8.132472606
Br-82,512.488,0.568214707
P-32,512.646,0.551298564
Yb-175,514.868,11.21062581
Cl-36,517.073,45.96272997
Se-77,520.637,3.415344783
Dy-165,538.609,89.19486052
Ru-100,539.538,3.167351524
U-239,552.069,0.179333154
 Br-82,554.348,2.157009501
 Rb-86,555.61,0.097796767
Co-60,555.972,20.06535034
Rb-86,556.82,0.219082626
Os-190,557.978,0.90447733
Cd-114,558.32,3387.697653
 As-76,559.1,5.460471397
Zr-92,560.958,0.063776434
 Sb-122,564.24,4.509968059
Th-233,566.63,0.166090302
La-140,567.386,0.488806265
Os-190,569.344,0.737780061
 Pb-207,569.702,0.001365816
Pb-207,569.702,0.000103412
Th-233,583.27,2.39E-01
F-20,583.561,0.037308986
Mg-25,585,0.256824162
Ge-74,595.851,2.975963349
Te-124,602.729,3.761491005
Ge-74,608.353,0.667613736
U-239,612.253,0.186691098
Se-78,613.724,5.228389609
Pd-106,616.192,1.137443651
Nd-144,618.062,17.84352678
Ba-139,627.29,0.407434658
Ru-102,627.97,0.331173307
 Ga-72,629.96,1.333905999
Xe-132,630.29,2.037764856
Ru-102,631.22,0.562661347
Os-188,633.14,0.581852744
P-32,636.663,0.189327844
Yb-175,639.261,1.554186308
V-52,645.703,2.821482612
Te-124,645.819,0.385199888
Cd-114,651.19,592.1836572
F-20,656.006,0.019190841
Ce-141,661.99,0.316587963
F-20,665.207,0.014390587
Xe-132,667.79,9.342447914
 W-187,685.73,3.174139798
Ru-100,686.907,0.925627241
Se-78,694.914,1.00223357
Nd-144,696.499,41.18617368
Sn-120,703.87,0.011646578
Ge-71,708.15,0.200564152
Pd-106,717.356,1.279245782
Te-124,722.772,0.71076474
Sm-150,737.44,684.0741264
Cr-51,749.09,1.86765495
K-40,770.305,3.875554459
Xe-132,772.72,2.270747501
 Br-82,776.517,2.069068591
Y-90,776.613,1.237740625
Mo-96,778.221,3.510735078
Cd-114,805.85,194.6938462
Nd-144,814.12,5.60443865
 La-140,815.772,1.669174101
Er-168,815.989,41.19274814
Ba-136,818.514,0.249790465
Ru-100,822.579,0.218690614
 Ga-72,834.08,3.786549488
Cr-54,834.849,4.244201346
S-33,840.993,1.723069555
 Mn-56,846.754,37.81170018
Mo-96,847.603,0.535067328
Mo-96,849.85,0.709026329
Sr-88,850.657,0.496330092
Be-10,853.63,0.036422152
Zn-65,855.69,0.159084272
Ge-74,867.899,1.189670276
Na-24,869.21,0.733417255
O-17,870.68,0.001725508
Rb-86,872.94,0.058488481
Kr-84,881.74,38.42514282
Dy-162,882.27,17.4275928
Pb-207,897.9,7.32E-05
Sr-88,898.055,1.226902331
Sn-120,925.9,0.012288746
Zr-92,934.464,0.204965772
U-236,943.137,0.051249517
Gd-158,944.174,2921.473512
Sn-116,972.619,0.019444092
Li-8,980.53,0.08693066
Ba-136,1048.073,0.025449619
Li-8,1051.9,0.083199957
Zn-68,1077.335,0.748905321
O-17,1087.75,0.001350537
 In-116,1097.3,103.4421442
K-40,1158.887,0.53898946
Cl-36,1164.865,32.99927396
Ti-51,1166.6,0.010688276
Sn-120,1171.28,0.096908052
Ar-41,1186.8,1.105107256
Zr-91,1205.6,0.059219787
Kr-84,1213.42,12.66018305
Ba-136,1261.52,0.086579243
C-13,1261.765,0.012919857
U-236,1279.01,0.104282216
In-116,1293.54,140.6327672
K-41,1293.589,0.012925614
Sn-116,1293.591,0.13913702
Se-78,1308.632,0.491354573
Zn-68,1340.14,0.084307243
 Na-24,1368.66,2.744602247
Ti-49,1381.745,12.80734564
Zr-92,1405.159,0.038642723
 V-52,1434.1,10.91706654
Ba-138,1435.77,0.259132428
Ba-138,1444.91,0.067119754
 K-41,1460.822,9.469942804
Kr-84,1463.86,9.669824925
Zr-91,1465.7,0.078752992
 Pr-142,1575.6,0.329031912
 La-140,1596.21,4.536777237
 F-20,1633.53,0.053695137
K-41,1677.196,0.005073731
Hg-200,1693.296,29.06377306
K-41,1697.957,0.004501935
Al-28,1778.92,0.862236528
 Mn-56,1810.72,6.52630524
Sr-88,1836.067,1.152983573
Zn-68,1883.12,0.105789471
Ca-41,1942.67,0.827258708
Li-8,2032.3,0.500090403
Ne-21,2035.67,0.110476661
Zr-91,2042.2,0.031842585
Si-29,2092.902,0.105022825
Sn-116,2112.302,0.011330378
 Mn-56,2113.05,3.0756611
O-17,2184.42,0.000883895
 Ga-72,2201.91,0.639127449
H-2,2223.248,28.06555224
S-33,2379.661,0.522502347
Pb-208,2614.53,0.000143717
Na-24,2754.13,1.64029453
Mg-25,2828.172,0.068623156
Al-28,3033.896,0.043251554
Be-10,3367.448,0.018675865
Ti-51,3466.6,0.003238056
Si-29,3538.966,0.238329725
C-13,3683.92,0.005488916
Mg-25,3916.84,0.066837767
Bi-210,4054.57,0.003210796
Ba-139,4095.84,0.054697671
Bi-210,4171.05,3.89E-03
Ne-21,4374.13,0.042778882
Ca-41,4418.52,0.0789809
Ar-41,4745.3,0.372727075
Pb-208,4753.31,4.64E-05
Ce-141,4766.1,0.033195034
Si-29,4933.889,0.157937337
C-13,4945.301,0.008583942
La-140,5097.726,0.1868625
Ti-51,5205.8,0.002569309
W-187,5261.68,0.17221938
Yb-175,5266.3,0.297525236
N-15,5269.159,0.06192812
N-15,5297.821,0.043809327
W-187,5320.72,0.119603923
S-33,5420.574,0.341652246
N-15,5533.395,0.038422905
Pr-142,5666.17,0.090806859
Hf-179,5723.809,0.368146433
Hg-200,5967.02,9.883409476
Y-90,6080.171,0.264975405
Cl-36,6110.842,5.725987063
H-3,6250.243,0.015421911
Na-24,6395.478,0.126548642
Ti-49,6418.426,1.185831835
Ca-41,6419.59,0.127149545
V-52,6517.282,0.434818829
Se-77,6600.69,0.220397046
Pb-207,6737.62,0.000906778
Ti-49,6760.084,1.679668324
Li-7,6768.81,0.005879067
Be-10,6809.61,0.017253527
Li-7,7245.91,0.008762062
Pb-208,7367.78,0.01589945
Fe-57,7631.136,0.267140724
Fe-57,7645.545,0.223965928
Al-28,7724.027,0.040995285
Zn-65,7863.55,0.047087522
Cu-64,7915.62,0.295555394
Cr-51,8482.8,0.062801333
Cr-51,8510.77,0.086102447
Ni-59,8533.509,0.234960091
Cr-54,8884.36,0.267279861
Ni-59,8998.414,0.441857807
Cr-54,9719.06,0.07475166
